City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto natales,-51.7236,-72.4875,-1.65,88,13,1.48,CL,1695099938
84,mil'kovo,55.6078,37.7956,11.86,75,78,2.86,RU,1695099939
85,kandyagash,49.4744,57.4233,13.23,77,98,1.25,KZ,1695099939
86,kununurra,-15.7667,128.7333,33.99,31,100,2.57,AU,1695099939
87,hawaiian paradise park,19.5933,-154.9731,25.73,92,100,0.0,US,1695099939
88,mount gambier,-37.8333,140.7667,17.64,56,16,7.66,AU,1695099939
89,tsiombe,-25.3,45.4833,23.64,72,29,2.92,MG,1695099940
90,rengasdengklok,-6.1592,107.2981,32.07,44,54,6.22,ID,1695099940
91,badger,64.8,-147.5333,6.93,89,75,3.09,US,1695099940
92,mana,5.6592,-53.7767,25.08,90,100,2.21,GF,1695099941
93,chadron,42.8294,-102.9999,13.82,62,0,1.54,US,1695099941
94,jamestown,42.097,-79.2353,15.77,100,75,3.09,US,1695099877
95,i-n-salah,27.1935,2.4607,28.75,14,18,6.7,DZ,1695099941
96,lihue,21.9789,-159.3672,27.58,75,75,6.69,US,1695099941
97,iskateley,67.6803,53.1512,6.19,81,100,8.38,RU,1695099942
98,margaret river,-33.95,115.0667,15.2,73,99,5.06,AU,1695099942
99,moose jaw,50.4001,-105.5344,13.14,44,98,3.09,CA,1695099690
100,tiksi,71.6872,128.8694,2.47,72,100,4.22,RU,1695099942
101,keflavik,64.0049,-22.5624,9.95,87,75,6.69,IS,1695099943
102,bengkulu,-3.8004,102.2655,26.44,78,93,6.02,ID,1695099943
103,alice springs,-23.7,133.8833,32.75,9,80,3.09,AU,1695099755
104,nurota,40.5614,65.6886,24.79,17,20,2.91,UZ,1695099943
105,kapuskasing,49.4169,-82.4331,2.05,93,0,0.51,CA,1695099731
106,colon,9.3592,-79.9014,24.95,86,100,1.34,PA,1695099738
107,tofol,5.3248,163.0078,28.44,75,68,3.96,FM,1695099944
108,tazovsky,67.4667,78.7,5.55,71,100,5.75,RU,1695099944
109,kamloops,50.6665,-120.3192,12.55,58,20,2.06,CA,1695099945
110,touros,-5.1989,-35.4608,23.37,89,13,5.0,BR,1695099945
111,wailua homesteads,22.0669,-159.378,27.24,76,75,6.69,US,1695099945
112,oranjemund,-28.55,16.4333,11.29,95,25,1.22,NA,1695099945
113,walvis bay,-22.9575,14.5053,12.83,94,100,0.51,NA,1695099946
114,katsuura,35.1333,140.3,30.01,76,2,7.51,JP,1695099946
115,iqaluit,63.7506,-68.5145,-0.15,80,20,3.6,CA,1695099723
116,howard springs,-12.497,131.047,31.95,42,90,2.72,AU,1695099946
117,viedma,-40.8135,-62.9967,4.53,93,4,4.27,AR,1695099665
118,lebu,-37.6167,-73.65,6.34,77,19,6.92,CL,1695099947
119,klyuchi,52.2667,79.1667,15.99,65,99,1.62,RU,1695099947
120,trincomalee,8.5711,81.2335,27.52,73,95,7.8,LK,1695099947
121,nizhneangarsk,55.7833,109.55,9.51,46,92,1.98,RU,1695099947
122,as sulayyil,20.4607,45.5779,32.14,13,100,5.69,SA,1695099948
123,broken hill,-31.95,141.4333,32.58,10,3,11.17,AU,1695099935
124,jiutai,44.1525,125.8328,15.19,85,98,6.71,CN,1695099948
125,saipan,15.1355,145.701,31.39,74,40,6.69,MP,1695099948
126,borogontsy,62.6683,131.1683,6.22,46,50,4.44,RU,1695099949
127,dubbo,-32.25,148.6167,31.07,16,0,9.26,AU,1695099949
128,moya,28.0906,-15.5883,17.93,70,43,5.81,ES,1695099949
129,tralee,52.2704,-9.7026,16.17,96,100,9.48,IE,1695099949
130,namdrik,5.5994,168.1028,27.21,81,99,3.51,MH,1695099949
131,ulaangom,49.9811,92.0667,16.31,44,10,1.82,MN,1695099950
132,kolonia,50.9333,6.95,14.97,79,0,4.12,DE,1695099877
133,fort bragg,35.139,-79.006,17.75,87,0,0.0,US,1695099950
134,phek,25.6667,94.5,21.45,69,100,0.94,IN,1695099951
135,swan hill,-35.3378,143.5544,30.55,19,80,9.18,AU,1695099693
136,fuglafjordur,62.244,-6.814,9.26,93,100,7.95,FO,1695099951
137,thompson,55.7435,-97.8558,15.09,77,0,1.03,CA,1695099769
138,santiago de cao,-7.9589,-79.2392,20.07,83,100,2.57,PE,1695099951
139,pangody,65.85,74.4859,5.52,83,100,10.77,RU,1695099951
140,raduzhny,62.0961,77.475,10.03,62,71,5.4,RU,1695099952
141,san antonio de pale,-1.4014,5.6325,24.02,86,69,5.9,GQ,1695099952
142,crane,31.3974,-102.3501,26.11,50,17,2.9,US,1695099645
143,georgetown,5.4112,100.3354,32.32,79,20,4.12,MY,1695099953
144,caraballeda,10.6112,-66.8522,29.04,81,75,3.09,VE,1695099953
145,tura,25.5198,90.2201,23.94,95,100,1.86,IN,1695099953
146,moyobamba,-6.05,-76.9667,18.66,99,55,0.03,PE,1695099666
147,kuala belait,4.5833,114.1833,31.09,80,93,2.55,BN,1695099953
148,quepos,9.4236,-84.1652,26.03,85,96,1.61,CR,1695099954
149,codrington,-38.2667,141.9667,19.56,49,51,8.23,AU,1695099954
150,muskogee,35.5834,-95.3336,23.04,62,55,4.65,US,1695099613
151,vila velha,-20.3297,-40.2925,22.97,88,75,2.57,BR,1695099954
152,malangali,-8.5667,34.85,18.73,63,83,5.34,TZ,1695099954
153,poso,-1.3959,120.7524,29.95,66,26,2.91,ID,1695099955
154,ilulissat,69.2167,-51.1,-1.99,80,0,1.03,GL,1695099955
155,angaur state,6.906,134.13,28.46,75,69,2.94,PW,1695099955
156,kargasok,59.0556,80.8572,16.35,68,31,1.97,RU,1695099956
157,twon-brass,4.3151,6.2418,25.42,86,100,2.8,NG,1695099956
158,merizo village,13.2658,144.6691,32.31,85,100,4.78,GU,1695099956
159,mashhad,36.297,59.6062,19.08,39,0,3.09,IR,1695099956
